aitem_id,tag
1,Clothing
1,Women's Clothing
1,"Lingerie, Sleep & Swimwear"
2,Furniture
2,Living Room Furniture
2,Sofa Beds & Futons
3,Footwear
3,Women's Footwear
3,Ballerinas
4,Clothing
4,Women's Clothing
4,"Lingerie, Sleep & Swimwear"
5,Pet Supplies
5,Grooming
5,Skin & Coat Care
6,Eternal Gandhi Super Series Crystal Paper Weight...
7,Clothing
7,Women's Clothing
7,"Lingerie, Sleep & Swimwear"
8,Furniture
8,Living Room Furniture
8,Sofa Beds & Futons
9,Footwear
9,Women's Footwear
9,Ballerinas
10,Footwear
10,Women's Footwear
10,Ballerinas
11,Clothing
11,Women's Clothing
11,Sports & Gym Wear
12,Pens & Stationery
12,School Supplies
12,Water Bottles
13,Furniture
13,Living Room Furniture
13,Sofa Beds & Futons
14,Footwear
14,Women's Footwear
14,Ballerinas
15,Clothing
15,Women's Clothing
15,Sports & Gym Wear
16,Pet Supplies
16,Grooming
16,Skin & Coat Care
17,Clothing
17,Kids' Clothing
17,Boys Wear
18,Footwear
18,Women's Footwear
18,Sports Sandals
19,Pet Supplies
19,Toys
19,Comfort Toys
20,Clothing
20,Women's Clothing
20,"Lingerie, Sleep & Swimwear"
21,Sports & Fitness
21,Other Sports
21,Skating
22,Beauty and Personal Care
22,Makeup
22,Vanity Boxes
23,Clothing
23,Women's Clothing
23,Fusion Wear
24,Clothing
24,Men's Clothing
24,"Cargos, Shorts & 3/4ths"
25,Bengal Blooms Rose Artificial Plant  with Pot (3...
26,Clothing
26,Women's Clothing
26,Ethnic Wear
27,Pens & Stationery
27,Diaries & Notebooks
27,Notebooks
28,Pens & Stationery
28,Diaries & Notebooks
28,Notebooks
29,Pens & Stationery
29,Diaries & Notebooks
29,Notebooks
30,Clothing
30,Women's Clothing
30,Formal Wear
31,Pens & Stationery
31,Office Supplies
31,Packaging Security Bags
32,Clothing
32,Women's Clothing
32,Formal Wear
33,"Bags, Wallets & Belts"
33,Bags
33,Pouches and Potlis
34,Clothing
34,Kids' Clothing
34,Boys Wear
35,Footwear
35,Women's Footwear
35,Casual Shoes
36,Home Decor & Festive Needs
36,Showpiece
36,Gramophones
37,Automotive
37,Accessories & Spare parts
37,Car Interior & Exterior
38,Tools & Hardware
38,Tools
38,Hardware & Electricals
39,Vishudh Printed Women's Straight Kurta
40,Vishudh Printed Women's Straight Kurta
41,Vishudh Printed Women's Anarkali Kurta
42,BuildTrack PIR Wireless Motion Sensor - One Swit...
43,Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER...
44,MASARA Solid Women's Straight Kurta
45,Vishudh Printed Women's Straight Kurta
46,Tools & Hardware
46,Tools
46,Hardware & Electricals
47,Skayvon SUBMERSIBBLE THREE PHASE PUMP CONTROLLER...
