aitem_id,tag
1,Clothing
1,Women's Clothing
1,"Lingerie, Sleep & Swimwear"
1,Shorts
1,Alisha Shorts
1,Alisha Solid Women's Cycling Shorts
2,Furniture
2,Living Room Furniture
2,Sofa Beds & Futons
2,FabHomeDecor Fabric Double Sofa Bed (Finish Colo...
3,Footwear
3,Women's Footwear
3,Ballerinas
3,AW Bellies
4,Clothing
4,Women's Clothing
4,"Lingerie, Sleep & Swimwear"
4,Shorts
4,Alisha Shorts
4,Alisha Solid Women's Cycling Shorts
5,Pet Supplies
5,Grooming
5,Skin & Coat Care
5,Shampoo
5,Sicons All Purpose Arnica Dog Shampoo (500 ml)
6,Eternal Gandhi Super Series Crystal Paper Weight...
7,Clothing
7,Women's Clothing
7,"Lingerie, Sleep & Swimwear"
7,Shorts
7,Alisha Shorts
7,Alisha Solid Women's Cycling Shorts
8,Furniture
8,Living Room Furniture
8,Sofa Beds & Futons
8,FabHomeDecor Fabric Double Sofa Bed (Finish Colo...
9,Footwear
9,Women's Footwear
9,Ballerinas
9,"dilli bazaaar Bellies, Corporate Casuals, Casuals"
10,Clothing
10,Women's Clothing
10,"Lingerie, Sleep & Swimwear"
10,Shorts
10,Alisha Shorts
10,Alisha Solid Women's Cycling Shorts
11,Footwear
11,Women's Footwear
11,Ballerinas
11,Ladela Bellies
12,Clothing
12,Women's Clothing
12,Sports & Gym Wear
12,Swimsuits
12,Carrel Swimsuits
12,Carrel Printed Women's
13,Clothing
13,Women's Clothing
13,"Lingerie, Sleep & Swimwear"
13,Shorts
13,Alisha Shorts
13,Alisha Solid Women's Cycling Shorts
14,Pens & Stationery
14,School Supplies
14,Water Bottles
14,Freelance Water Bottles
14,Freelance Vacuum Bottles 350 ml Bottle (Pack of ...
15,Clothing
15,Women's Clothing
15,"Lingerie, Sleep & Swimwear"
15,Shorts
15,Alisha Shorts
15,Alisha Solid Women's Cycling Shorts
16,Furniture
16,Living Room Furniture
16,Sofa Beds & Futons
16,FabHomeDecor Fabric Double Sofa Bed (Finish Colo...
17,Footwear
17,Women's Footwear
17,Ballerinas
17,Style Foot Bellies
18,Clothing
18,Women's Clothing
18,Sports & Gym Wear
18,Swimsuits
18,Carrel Swimsuits
18,Carrel Printed Women's
19,Furniture
19,Living Room Furniture
19,Sofa Beds & Futons
19,FabHomeDecor Fabric Double Sofa Bed (Finish Colo...
20,Pet Supplies
20,Grooming
20,Skin & Coat Care
20,Shampoo
20,Sicons Conditioning Conditoner Dog Shampoo (200 ml)
21,Clothing
21,Kids' Clothing
21,Boys Wear
21,Polos & T-Shirts
21,dongli Polos & T-Shirts
21,dongli Printed Boy's Round Neck T-Shirt (Pack of 4)
22,Footwear
22,Women's Footwear
22,Sports Sandals
22,SWAGGA Women Clogs
23,Pet Supplies
